HEADER_TIME_STAMP,Y,group
2016-02-26 14:17:42,0.691,origin
2016-02-26 14:17:42,0.406,origin
2016-02-26 14:17:42,0.09,origin
2016-02-26 14:17:42,-0.262,origin
2016-02-26 14:17:42,-0.605,origin
2016-02-26 14:17:42,-0.91,origin
2016-02-26 14:17:42,-1.25,origin
2016-02-26 14:17:42,-1.5,origin
2016-02-26 14:17:42,-1.531,origin
2016-02-26 14:17:42,-1.441,origin
2016-02-26 14:17:42,-1.27,origin
2016-02-26 14:17:42,-1.07,origin
2016-02-26 14:17:42,-0.934,origin
2016-02-26 14:17:42,-0.895,origin
2016-02-26 14:17:42,-0.902,origin
2016-02-26 14:17:42,-0.836,origin
2016-02-26 14:17:42,-0.691,origin
2016-02-26 14:17:42,-0.484,origin
2016-02-26 14:17:42,-0.125,origin
2016-02-26 14:17:42,0.445,origin
2016-02-26 14:17:42,1.281,origin
2016-02-26 14:17:42,1.99008996083723,origin
2016-02-26 14:17:42,2.00866708856965,origin
2016-02-26 14:17:42,1.99692197543503,origin
2016-02-26 14:17:42,1.99328875674373,origin
2016-02-26 14:17:42,1.99556413035712,origin
2016-02-26 14:17:42,1.99384996074073,origin
2016-02-26 14:17:42,1.99414427601982,origin
2016-02-26 14:17:42,2.00780790651807,origin
2016-02-26 14:17:42,2.00775743557831,origin
2016-02-26 14:17:42,1.684,origin
2016-02-26 14:17:42,1.441,origin
2016-02-26 14:17:42,1.258,origin
2016-02-26 14:17:42,1.109,origin
2016-02-26 14:17:42,0.969,origin
2016-02-26 14:17:42,0.809,origin
2016-02-26 14:17:42,0.645,origin
2016-02-26 14:17:42,0.473,origin
2016-02-26 14:17:42,0.289,origin
2016-02-26 14:17:42,0.105,origin
2016-02-26 14:17:42,-0.047,origin
2016-02-26 14:17:43,-0.039,origin
2016-02-26 14:17:43,-0.188,origin
2016-02-26 14:17:43,-0.293,origin
2016-02-26 14:17:43,-0.285,origin
2016-02-26 14:17:43,-0.262,origin
2016-02-26 14:17:43,-0.207,origin
2016-02-26 14:17:43,-0.086,origin
2016-02-26 14:17:43,0.078,origin
2016-02-26 14:17:43,0.293,origin
2016-02-26 14:17:43,0.59,origin
2016-02-26 14:17:43,1.063,origin
2016-02-26 14:17:43,1.844,origin
2016-02-26 14:17:43,2.00731708080622,origin
2016-02-26 14:17:43,1.99537231734712,origin
2016-02-26 14:17:43,2.01612411024528,origin
2016-02-26 14:17:43,2.00008327712371,origin
2016-02-26 14:17:43,2.00518711067272,origin
2016-02-26 14:17:43,1.98667333477903,origin
2016-02-26 14:17:43,1.9988046290822,origin
2016-02-26 14:17:43,1.99691789054544,origin
2016-02-26 14:17:43,1.99889344927249,origin
2016-02-26 14:17:43,1.754,origin
2016-02-26 14:17:43,1.41,origin
2016-02-26 14:17:43,1.063,origin
2016-02-26 14:17:43,0.766,origin
2016-02-26 14:17:43,0.52,origin
2016-02-26 14:17:43,0.27,origin
2016-02-26 14:17:43,0.012,origin
2016-02-26 14:17:43,-0.27,origin
2016-02-26 14:17:43,-0.566,origin
2016-02-26 14:17:43,-0.879,origin
2016-02-26 14:17:43,-1.145,origin
2016-02-26 14:17:43,-1.359,origin
2016-02-26 14:17:43,-1.504,origin
2016-02-26 14:17:43,-1.508,origin
2016-02-26 14:17:43,-1.43,origin
2016-02-26 14:17:43,-1.352,origin
2016-02-26 14:17:43,-1.215,origin
2016-02-26 14:17:43,-1.035,origin
2016-02-26 14:17:43,-0.844,origin
2016-02-26 14:17:43,-0.672,origin
2016-02-26 14:17:43,-0.52,origin
2016-02-26 14:17:43,-0.313,origin
2016-02-26 14:17:43,0.098,origin
2016-02-26 14:17:43,0.922,origin
2016-02-26 14:17:43,2.0008163426208,origin
2016-02-26 14:17:43,1.98776176414585,origin
2016-02-26 14:17:43,1.99051272735132,origin
2016-02-26 14:17:43,1.99062917717628,origin
2016-02-26 14:17:43,2.00528066136735,origin
2016-02-26 14:17:43,2.0015960540834,origin
2016-02-26 14:17:43,1.99165910920772,origin
2016-02-26 14:17:43,1.99427840048608,origin
2016-02-26 14:17:43,1.883,origin
2016-02-26 14:17:43,1.551,origin
2016-02-26 14:17:43,1.336,origin
2016-02-26 14:17:43,1.203,origin
2016-02-26 14:17:43,1.102,origin
2016-02-26 14:17:43,1.02,origin
2016-02-26 14:17:43,0.961,origin
2016-02-26 14:17:43,0.898,origin
2016-02-26 14:17:43,0.785,origin
2016-02-26 14:17:43,0.637,origin
2016-02-26 14:17:43,0.449,origin
2016-02-26 14:17:43,0.246,origin
2016-02-26 14:17:43,0.094,origin
2016-02-26 14:17:43,0.09,origin
2016-02-26 14:17:43,-0.133,origin
2016-02-26 14:17:43,-0.242,origin
2016-02-26 14:17:43,-0.207,origin
2016-02-26 14:17:43,-0.148,origin
2016-02-26 14:17:43,-0.02,origin
2016-02-26 14:17:43,0.148,origin
2016-02-26 14:17:43,0.316,origin
2016-02-26 14:17:43,0.461,origin
2016-02-26 14:17:43,0.59,origin
2016-02-26 14:17:43,0.777,origin
2016-02-26 14:17:43,1.211,origin
2016-02-26 14:17:43,2.01012533371099,origin
2016-02-26 14:17:43,2.01414691485943,origin
2016-02-26 14:17:43,2.00897778901799,origin
2016-02-26 14:17:43,2.0201143780511,origin
2016-02-26 14:17:43,2.02001811317216,origin
2016-02-26 14:17:43,1.98627035312922,origin
2016-02-26 14:17:43,1.99235252608333,origin
2016-02-26 14:17:43,2.01061061404395,origin
2016-02-26 14:17:43,1.98463756697162,origin
2016-02-26 14:17:43,1.922,origin
2016-02-26 14:17:43,1.688,origin
2016-02-26 14:17:43,1.426,origin
2016-02-26 14:17:43,1.176,origin
2016-02-26 14:17:43,0.945,origin
2016-02-26 14:17:43,0.691,origin
2016-02-26 14:17:43,0.402,origin
2016-02-26 14:17:43,0.074,origin
2016-02-26 14:17:43,-0.305,origin
2016-02-26 14:17:43,-0.695,origin
2016-02-26 14:17:43,-1.012,origin
2016-02-26 14:17:43,-1.211,origin
2016-02-26 14:17:43,-1.266,origin
2016-02-26 14:17:44,-1.234,origin
2016-02-26 14:17:44,-1.176,origin
2016-02-26 14:17:44,-1.105,origin
2016-02-26 14:17:44,-1.035,origin
2016-02-26 14:17:44,-0.949,origin
2016-02-26 14:17:44,-0.855,origin
2016-02-26 14:17:44,-0.738,origin
2016-02-26 14:17:44,-0.566,origin
2016-02-26 14:17:44,-0.281,origin
2016-02-26 14:17:44,0.207,origin
2016-02-26 14:17:44,1.02,origin
2016-02-26 14:17:44,1.98299087187452,origin
2016-02-26 14:17:44,1.9960974301073,origin
2016-02-26 14:17:44,2.00451750729435,origin
2016-02-26 14:17:44,1.9869872856509,origin
2016-02-26 14:17:44,1.98513662371148,origin
2016-02-26 14:17:44,1.99847573779721,origin
2016-02-26 14:17:44,2.00757997683542,origin
2016-02-26 14:17:44,2.01079408752973,origin
2016-02-26 14:17:44,1.844,origin
2016-02-26 14:17:44,1.574,origin
2016-02-26 14:17:44,1.449,origin
2016-02-26 14:17:44,1.355,origin
2016-02-26 14:17:44,1.223,origin
2016-02-26 14:17:44,1.094,origin
2016-02-26 14:17:44,0.891,origin
2016-02-26 14:17:44,0.813,origin
2016-02-26 14:17:44,0.773,origin
2016-02-26 14:17:44,0.633,origin
2016-02-26 14:17:44,0.461,origin
2016-02-26 14:17:44,0.344,origin
2016-02-26 14:17:44,0.219,origin
2016-02-26 14:17:44,0.121,origin
2016-02-26 14:17:44,0.121,origin
2016-02-26 14:17:44,0.191,origin
2016-02-26 14:17:44,0.063,origin
2016-02-26 14:17:44,-0.086,origin
2016-02-26 14:17:44,-0.195,origin
2016-02-26 14:17:44,-0.27,origin
2016-02-26 14:17:44,-0.199,origin
2016-02-26 14:17:44,0.031,origin
2016-02-26 14:17:44,0.375,origin
2016-02-26 14:17:44,0.77,origin
2016-02-26 14:17:44,1.25,origin
2016-02-26 14:17:44,1.887,origin
2016-02-26 14:17:44,1.98428360701416,origin
2016-02-26 14:17:44,2.00625168524142,origin
2016-02-26 14:17:44,1.99419511561354,origin
2016-02-26 14:17:44,2.00973214475649,origin
2016-02-26 14:17:44,1.99818898617129,origin
2016-02-26 14:17:44,2.00581579146518,origin
2016-02-26 14:17:44,1.9991103262789,origin
2016-02-26 14:17:44,1.98,origin
2016-02-26 14:17:44,1.906,origin
2016-02-26 14:17:44,1.766,origin
2016-02-26 14:17:44,1.531,origin
2016-02-26 14:17:44,1.27,origin
2016-02-26 14:17:44,1.02,origin
2016-02-26 14:17:44,0.762,origin
2016-02-26 14:17:44,0.484,origin
2016-02-26 14:17:44,0.18,origin
2016-02-26 14:17:44,-0.156,origin
2016-02-26 14:17:44,-0.477,origin
2016-02-26 14:17:44,-0.762,origin
2016-02-26 14:17:44,-0.957,origin
2016-02-26 14:17:44,-1.055,origin
2016-02-26 14:17:44,-1.047,origin
2016-02-26 14:17:44,-0.984,origin
2016-02-26 14:17:44,-0.926,origin
2016-02-26 14:17:44,-0.891,origin
2016-02-26 14:17:44,-0.859,origin
2016-02-26 14:17:44,-0.805,origin
2016-02-26 14:17:44,-0.73,origin
2016-02-26 14:17:44,-0.637,origin
2016-02-26 14:17:44,-0.48,origin
2016-02-26 14:17:44,-0.195,origin
2016-02-26 14:17:44,0.383,origin
2016-02-26 14:17:44,1.371,origin
2016-02-26 14:17:44,1.98130111051373,origin
2016-02-26 14:17:44,2.00375374925339,origin
2016-02-26 14:17:44,1.99402456656365,origin
2016-02-26 14:17:44,2.02718233257639,origin
2016-02-26 14:17:44,2.0055479178175,origin
2016-02-26 14:17:44,1.98699365604833,origin
2016-02-26 14:17:44,1.98131518584921,origin
2016-02-26 14:17:44,1.99915456291398,origin
2016-02-26 14:17:44,1.719,origin
2016-02-26 14:17:44,1.414,origin
2016-02-26 14:17:44,1.238,origin
2016-02-26 14:17:44,1.125,origin
2016-02-26 14:17:44,1.031,origin
2016-02-26 14:17:44,0.949,origin
2016-02-26 14:17:44,0.898,origin
2016-02-26 14:17:44,0.887,origin
2016-02-26 14:17:44,0.84,origin
2016-02-26 14:17:44,0.711,origin
2016-02-26 14:17:44,0.477,origin
2016-02-26 14:17:44,0.23,origin
2016-02-26 14:17:44,0.082,origin
2016-02-26 14:17:44,0.133,origin
2016-02-26 14:17:45,-0.102,origin
2016-02-26 14:17:45,-0.219,origin
2016-02-26 14:17:45,-0.219,origin
2016-02-26 14:17:45,-0.211,origin
2016-02-26 14:17:45,-0.133,origin
2016-02-26 14:17:45,-0.031,origin
2016-02-26 14:17:45,0.059,origin
2016-02-26 14:17:45,0.164,origin
2016-02-26 14:17:45,0.383,origin
2016-02-26 14:17:45,0.707,origin
2016-02-26 14:17:45,1.301,origin
2016-02-26 14:17:45,2.00961112772044,origin
2016-02-26 14:17:45,1.99549920758658,origin
2016-02-26 14:17:45,1.99494442805043,origin
2016-02-26 14:17:45,2.00439387170848,origin
