ID,MPH,name,LOCATION,N,mean,sd,se,cv,SR,GRANGE,SERIES
GT9X2g,11.2,Proposed,Waist,45,97.3058167309256,14.9203173989798,2.22418959666611,0.15333428052136,81.7777777777778,2,GT9X2g: 81.7777777777778Hz, 2g
GT9X2g,12.4,Proposed,Nondominant wrist,38,229.105383891747,73.4993433687026,11.9231679334488,0.320810197124967,82.1052631578947,2,GT9X2g: 82.1052631578947Hz, 2g
GT9X2g,12.4,Proposed,Waist,38,95.6760606761281,16.8178738654403,2.72821939884963,0.175779330237793,82.1052631578947,2,GT9X2g: 82.1052631578947Hz, 2g
GT3X+,1.9,Actigraph count algorithm,Nondominant wrist,75,2734.76856307295,1055.3454409614,121.860794885422,0.385899360995853,80,6,GT3X+: 80Hz, 6g
GT3X+,1.9,Actigraph count algorithm,Waist,75,1864.16132576615,471.426979296458,54.4356986800124,0.252889582452156,80,6,GT3X+: 80Hz, 6g
GT3X+,3.1,Actigraph count algorithm,Nondominant wrist,74,5175.43586966481,1167.19008890175,135.683091800017,0.225524983459479,80,6,GT3X+: 80Hz, 6g
GT3X+,3.1,Actigraph count algorithm,Waist,74,4036.12915358421,628.369358633642,73.0464542001291,0.155686137564659,80,6,GT3X+: 80Hz, 6g
GT3X+,4.3,Actigraph count algorithm,Nondominant wrist,75,7859.23743395226,2121.21494303563,244.936803674135,0.26990086008496,80,6,GT3X+: 80Hz, 6g
GT3X+,4.3,Actigraph count algorithm,Waist,75,6094.36982859582,1210.29947948214,139.753346055816,0.198593047931422,80,6,GT3X+: 80Hz, 6g
GT3X+,5,Actigraph count algorithm,Nondominant wrist,73,16917.7405906197,3617.10093306864,423.349642730548,0.213805201332511,80,6,GT3X+: 80Hz, 6g
GT3X+,5,Actigraph count algorithm,Waist,73,7639.89628699915,2282.41141012347,267.136049814389,0.29874900448681,80,6,GT3X+: 80Hz, 6g
GT3X+,6.2,Actigraph count algorithm,Nondominant wrist,75,21841.6656204397,6002.77357894712,693.140588337898,0.274831310178545,80,6,GT3X+: 80Hz, 6g
GT3X+,6.2,Actigraph count algorithm,Waist,75,8927.0063775639,2878.18056530279,332.343664830783,0.322412737660463,80,6,GT3X+: 80Hz, 6g
GT3X+,7.5,Actigraph count algorithm,Nondominant wrist,75,23430.968154034,6206.4624867392,716.660557486838,0.264882886867424,80,6,GT3X+: 80Hz, 6g
GT3X+,7.5,Actigraph count algorithm,Waist,75,9509.86377758035,2839.75245373818,327.906368719528,0.298611265119585,80,6,GT3X+: 80Hz, 6g
GT3X+,8.6,Actigraph count algorithm,Nondominant wrist,74,26133.1461809466,7421.02849895736,862.677040054383,0.283969960890816,80,6,GT3X+: 80Hz, 6g
GT3X+,8.6,Actigraph count algorithm,Waist,74,9509.92537643179,2331.18207056696,270.994411185337,0.245131478775246,80,6,GT3X+: 80Hz, 6g
GT3X+,10,Actigraph count algorithm,Nondominant wrist,75,30089.5079339881,8377.19177434297,967.314785194007,0.278409065137299,80,6,GT3X+: 80Hz, 6g
GT3X+,10,Actigraph count algorithm,Waist,75,9550.03475378753,1998.58413095295,230.776617200759,0.209275063649408,80,6,GT3X+: 80Hz, 6g
GT3X+,11.2,Actigraph count algorithm,Nondominant wrist,68,33475.8098666066,9501.77085198754,1152.2589662694,0.283839909769171,80,6,GT3X+: 80Hz, 6g
