DEVICE,GRANGE,SR,RPM,name,N,mean,sd,se,cv,SERIES
Nexus 4,4,50,7,Actigraph count algorithm,18,17944.8139840452,1520.83242307506,358.46363980158,0.0847505259417699,Nexus 4: 50Hz, 4g
Nexus 4,4,50,8,Actigraph count algorithm,18,18629.1452962657,4858.24908880712,1145.10029179629,0.260787546156559,Nexus 4: 50Hz, 4g
TAS1C32140067,16,100,1,Actigraph count algorithm,31,5154.50819162931,61.1676317494157,10.9860309746164,0.0118668221051136,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,2,Actigraph count algorithm,31,12866.2251219149,115.987424374468,20.8319563860841,0.00901487602427446,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,3,Actigraph count algorithm,25,13146.9925667702,46.4063717846739,9.28127435693478,0.00352980893150945,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,4,Actigraph count algorithm,25,11239.084076982,214.821608475957,42.9643216951913,0.0191138002887547,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,5,Actigraph count algorithm,25,8573.92268213058,368.214046738261,73.6428093476522,0.042945809099221,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,6,Actigraph count algorithm,25,8922.21209257226,190.505071994388,38.1010143988776,0.0213517757723988,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,7,Actigraph count algorithm,19,24556.9350001096,286.271491907418,65.6751844021608,0.0116574601800322,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,8,Actigraph count algorithm,25,45180.7366404744,3802.91061558081,760.582123116162,0.084171062677496,TAS1C32140067: 100Hz, 16g
TAS1E23150139,8,60,1,Actigraph count algorithm,25,1865.38334112971,2400.1565293217,480.03130586434,1.28668272971073,TAS1E23150139: 60Hz, 8g
TAS1E23150139,8,60,2,Actigraph count algorithm,19,0,0,0,NA,TAS1E23150139: 60Hz, 8g
TAS1E23150139,8,60,3,Actigraph count algorithm,19,6.31578947368421,18.9181060585383,4.3401111848607,2.9953667926019,TAS1E23150139: 60Hz, 8g
TAS1E23150139,8,60,4,Actigraph count algorithm,19,2018.60934420524,5280.06888630494,1211.33087843877,2.61569624725174,TAS1E23150139: 60Hz, 8g
TAS1E23150139,8,60,5,Actigraph count algorithm,19,22298.6145529231,71.6625515064251,16.4405168448834,0.00321376699598725,TAS1E23150139: 60Hz, 8g
TAS1E23150139,8,60,6,Actigraph count algorithm,19,8601.66419060158,10422.8175597003,2391.15833945761,1.21172104940908,TAS1E23150139: 60Hz, 8g
TAS1E23150139,8,60,7,Actigraph count algorithm,19,40545.0801011657,191.609587309439,43.9582540892305,0.00472584064037724,TAS1E23150139: 60Hz, 8g
TAS1E23150139,8,60,8,Actigraph count algorithm,19,8127.72726341275,14244.678314491,3267.95332926904,1.75260289289159,TAS1E23150139: 60Hz, 8g
ActivPal3,2,20,1,ENMO_calibrated,24,0.0269675,0.000851014586295062,0.000173712625007385,0.031557044082509,ActivPal3: 20Hz, 2g
ActivPal3,2,20,1,ENMO_uncalibrated,24,1.723316,0.00757564895196962,0.00154637286689798,0.00439597203993326,ActivPal3: 20Hz, 2g
ActivPal3,2,20,2,ENMO_calibrated,18,0.346650666666667,0.00247617427876625,0.000583639874638441,0.00714314010290739,ActivPal3: 20Hz, 2g
ActivPal3,2,20,2,ENMO_uncalibrated,18,4.37947866666667,0.0146437130617647,0.00345155626924128,0.00334371147260557,ActivPal3: 20Hz, 2g
ActivPal3,2,20,3,ENMO_calibrated,18,0.837358666666667,0.110509740538481,0.0260473956406419,0.131974200468235,ActivPal3: 20Hz, 2g
ActivPal3,2,20,3,ENMO_uncalibrated,18,11.9425273333333,0.0594767007313146,0.0140187928032385,0.00498024405314162,ActivPal3: 20Hz, 2g
ActivPal3,2,20,4,ENMO_calibrated,18,1.09246866666667,0.0239008681407675,0.00563348864619406,0.0218778523082897,ActivPal3: 20Hz, 2g
ActivPal3,2,20,4,ENMO_uncalibrated,18,16.1164613333333,0.0447095547730018,0.0105381431212736,0.00277415456459601,ActivPal3: 20Hz, 2g
ActivPal3,2,20,5,ENMO_calibrated,18,1.11542133333333,0.0336410390271099,0.00792926894074357,0.0301599386902318,ActivPal3: 20Hz, 2g
ActivPal3,2,20,5,ENMO_uncalibrated,18,16.0492713333333,0.222522745020131,0.0524491139906598,0.0138649749511035,ActivPal3: 20Hz, 2g
ActivPal3,2,20,6,ENMO_calibrated,18,0.956444,0.0764344289778924,0.0180157676821298,0.0799152161317258,ActivPal3: 20Hz, 2g
ActivPal3,2,20,6,ENMO_uncalibrated,18,14.6547653333333,0.135242443459667,0.0318769496248563,0.00922856425084121,ActivPal3: 20Hz, 2g
ActivPal3,2,20,7,ENMO_calibrated,18,0.644408,0.0526581110092151,0.01241163579303,0.081715483062307,ActivPal3: 20Hz, 2g
ActivPal3,2,20,7,ENMO_uncalibrated,18,11.1132786666667,0.302406485650961,0.0712778922261956,0.0272112753329945,ActivPal3: 20Hz, 2g
ActivPal3,2,20,8,ENMO_calibrated,18,0.561379333333333,0.0219010967547021,0.00516213801022418,0.0390130085919956,ActivPal3: 20Hz, 2g
ActivPal3,2,20,8,ENMO_uncalibrated,18,10.422496,0.202315378511169,0.047686192027857,0.0194114133995513,ActivPal3: 20Hz, 2g
CLE2B41120128,6,40,1,ENMO_calibrated,25,0.00181392,0.00109194879000803,0.000218389758001606,0.601982882380717,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,1,ENMO_uncalibrated,25,0.00181392,0.00109194879000803,0.000218389758001606,0.601982882380717,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,2,ENMO_calibrated,19,1.75374568421053,0.00923455282592156,0.00211855171352527,0.00526561685030098,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,2,ENMO_uncalibrated,19,2.63181347368421,0.0351830678773634,0.00807154933690311,0.0133683744038712,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,3,ENMO_calibrated,19,7.01488042105263,0.156681233756211,0.0359451402259262,0.0223355530460632,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,3,ENMO_uncalibrated,19,10.8370591578947,0.236186138656513,0.0541848163299382,0.0217943018687365,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,4,ENMO_calibrated,19,16.1365932631579,0.0400541109789719,0.00918904326477375,0.00248219127332291,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,4,ENMO_uncalibrated,19,23.8983296842105,0.0616571580750747,0.0141451221681665,0.00257997771768172,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,5,ENMO_calibrated,19,27.96024,0.0700078285908079,0.0160608973728447,0.00250383503828321,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,5,ENMO_uncalibrated,19,40.1989004210526,0.0967174107354428,0.0221884957619322,0.00240597154953002,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,6,ENMO_calibrated,19,41.4268301052632,0.0609151157941155,0.0139748859937172,0.00147042666888424,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,6,ENMO_uncalibrated,19,58.5057738947368,0.105440863142382,0.0241897929977551,0.0018022300385615,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,7,ENMO_calibrated,19,45.13578,0.077510125170846,0.0177820422484687,0.00171726566309137,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,7,ENMO_uncalibrated,19,63.5001536842105,0.0820996005221372,0.0188349401042661,0.00129290396571987,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,8,ENMO_calibrated,19,45.4240345263158,0.0806649573065229,0.0185058103781135,0.00177582106362196,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,8,ENMO_uncalibrated,19,63.8918204210526,0.104616576140536,0.0240006885903066,0.00163740171200482,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,80,1,ENMO_calibrated,31,0.168749419354839,0.000872479714155523,0.000156701982573137,0.00517026794812794,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,1,ENMO_uncalibrated,31,0.0130021935483871,0.00157461117781195,0.00028280851616565,0.121103502416888,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,2,ENMO_calibrated,31,2.32174180645161,0.00519001768410191,0.000932154693677426,0.00223539829867386,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,2,ENMO_uncalibrated,31,3.03028335483871,0.00738965266458624,0.00132722079869597,0.00243860121291514,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,3,ENMO_calibrated,25,9.09083904,0.0171053440491559,0.00342106880983118,0.00188160234428217,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,3,ENMO_uncalibrated,25,11.8919832,0.0212234166900619,0.00424468333801237,0.00178468270036421,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,4,ENMO_calibrated,25,20.62295184,0.0471719217399508,0.00943438434799015,0.00228735062303044,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,4,ENMO_uncalibrated,25,26.1739344,0.0590875421387623,0.0118175084277525,0.00225749561513237,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,5,ENMO_calibrated,25,35.69079792,0.103218058168908,0.0206436116337816,0.00289200758134544,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,5,ENMO_uncalibrated,25,44.47641312,0.124672243227433,0.0249344486454866,0.00280310920961768,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,6,ENMO_calibrated,25,51.89927664,0.0831107001428828,0.0166221400285766,0.00160138455723345,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,6,ENMO_uncalibrated,25,63.99391008,0.104208574254522,0.0208417148509044,0.00162841392445389,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,7,ENMO_calibrated,19,56.6880157894737,0.0665453911915933,0.015266559755923,0.00117388817133286,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,7,ENMO_uncalibrated,19,69.5220006315789,0.0969036561104829,0.022231223381327,0.00139385597695913,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,8,ENMO_calibrated,25,57.21993552,0.15134853828749,0.030269707657498,0.00264503161200854,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,8,ENMO_uncalibrated,25,70.223028,0.161814062738688,0.0323628125477375,0.00230428774359727,CLE2B41120128: 80Hz, 6g
LG Watch R Urbane,2,100,1,ENMO_calibrated,18,0.186084666666667,0.00141096896201324,0.000332568573694435,0.00758240314630923,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,1,ENMO_uncalibrated,18,0.035804,0.00575378635437263,0.0013561804495585,0.160702333660279,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,2,ENMO_calibrated,18,2.53044333333333,0.0119883266555428,0.00282567569107126,0.00473763885467086,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,2,ENMO_uncalibrated,18,2.771282,0.0213509049704883,0.00503245656303395,0.0077043422396163,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,3,ENMO_calibrated,18,9.92627066666667,0.0175816863542388,0.00414404321525907,0.00177122777976221,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,3,ENMO_uncalibrated,18,11.461556,0.0286197349599269,0.00674573622197534,0.00249702003462068,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,4,ENMO_calibrated,18,15.9724653333333,0.0341954665863596,0.00805994876968429,0.00214090097381499,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,4,ENMO_uncalibrated,18,18.427914,0.0610168158461259,0.0143818014170688,0.00331110812901156,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,5,ENMO_calibrated,18,17.6037206666667,0.0454772130399647,0.0107190819100081,0.00258338642728396,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,5,ENMO_uncalibrated,18,20.2423046666667,0.0520813814626574,0.0122756993352695,0.00257289781575221,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,6,ENMO_calibrated,18,18.289634,0.0439872045619684,0.0103678835437359,0.00240503470774584,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,6,ENMO_uncalibrated,18,21.051212,0.0695984951155768,0.0164045226188677,0.00330615145178229,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,7,ENMO_calibrated,18,18.350996,0.0377213132826086,0.00889099880579823,0.00205554582882632,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,7,ENMO_uncalibrated,18,20.8944113333333,0.122360042161022,0.0288405385194434,0.00585611339840993,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,8,ENMO_calibrated,18,18.289706,0.0629079168720158,0.0148275382035073,0.00343952586619029,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,8,ENMO_uncalibrated,18,20.878628,0.108583651314118,0.025593412056736,0.00520070817460408,LG Watch R Urbane: 100Hz, 2g
MAT2C47090050,3,30,1,ENMO_calibrated,31,0.16987664516129,0.0016827140289502,0.000302224361394292,0.00990550541749006,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,1,ENMO_uncalibrated,31,0.496019225806452,0.0124651153296167,0.00223880080357439,0.0251303068129069,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,2,ENMO_calibrated,31,2.30425703225806,0.012368928726137,0.00222152517960549,0.00536785981467357,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,2,ENMO_uncalibrated,31,3.37543238709677,0.0239807767982015,0.00430707465967766,0.00710450515610165,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,3,ENMO_calibrated,25,9.013716,0.0310375184575055,0.00620750369150109,0.00344336547296425,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,3,ENMO_uncalibrated,25,11.91167136,0.0352565533516819,0.00705131067033638,0.00295983261174206,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,4,ENMO_calibrated,25,19.90179792,0.0696836116469286,0.0139367223293857,0.00350137268637931,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,4,ENMO_uncalibrated,25,25.02344832,0.0848983615304792,0.0169796723060958,0.00339275228756638,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,5,ENMO_calibrated,25,23.12870112,0.142639552899468,0.0285279105798936,0.0061672098298734,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,5,ENMO_uncalibrated,25,28.45308144,0.0678133137653659,0.0135626627530732,0.00238333812484831,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,6,ENMO_calibrated,25,23.6148576,0.173472300878267,0.0346944601756534,0.00734589654600614,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,6,ENMO_uncalibrated,25,28.47840432,0.239577354427667,0.0479154708855334,0.00841259755060837,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,7,ENMO_calibrated,19,22.3787298947368,0.249058709649372,0.0571379866510658,0.011129260276203,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,7,ENMO_uncalibrated,19,26.893056,0.424293790253876,0.0973396712678151,0.0157770760695205,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,8,ENMO_calibrated,25,21.13817472,1.61853206895414,0.323706413790827,0.0765691499097485,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,8,ENMO_uncalibrated,25,26.35517616,1.90265799016866,0.380531598033732,0.0721929528612439,MAT2C47090050: 30Hz, 3g
Nexus 4,4,50,1,ENMO_calibrated,18,0.198157333333333,0.00314000164855708,0.00074010548621055,0.0158460027481046,Nexus 4: 50Hz, 4g
Nexus 4,4,50,1,ENMO_uncalibrated,18,0.107858666666667,0.0142168902366164,0.00335095316456544,0.131810365137864,Nexus 4: 50Hz, 4g
Nexus 4,4,50,2,ENMO_calibrated,18,2.667494,0.014461258085373,0.00340855121888534,0.00542128982684609,Nexus 4: 50Hz, 4g
Nexus 4,4,50,2,ENMO_uncalibrated,18,2.87993533333333,0.0220022883622697,0.00518598910086092,0.00763985500216198,Nexus 4: 50Hz, 4g
Nexus 4,4,50,3,ENMO_calibrated,18,10.3738553333333,0.0412072506298416,0.00971264211813821,0.00397222144571789,Nexus 4: 50Hz, 4g
Nexus 4,4,50,3,ENMO_uncalibrated,18,11.4014346666667,0.0644940031649091,0.0152013823279246,0.0056566568199934,Nexus 4: 50Hz, 4g
Nexus 4,4,50,4,ENMO_calibrated,18,23.3878813333333,0.0643889043419211,0.0151766102977815,0.00275308838044049,Nexus 4: 50Hz, 4g
Nexus 4,4,50,4,ENMO_uncalibrated,18,25.5309446666667,0.0769318712108312,0.0181330159408496,0.00301327946205116,Nexus 4: 50Hz, 4g
Nexus 4,4,50,5,ENMO_calibrated,18,36.9862246666667,0.147863202121579,0.0348516909693752,0.00399779116290393,Nexus 4: 50Hz, 4g
Nexus 4,4,50,5,ENMO_uncalibrated,18,40.1041473333333,0.16406039211289,0.0386694052623829,0.0040908585027197,Nexus 4: 50Hz, 4g
Nexus 4,4,50,6,ENMO_calibrated,18,40.2238746666667,0.234760468515063,0.0553335730805108,0.00583634645991994,Nexus 4: 50Hz, 4g
Nexus 4,4,50,6,ENMO_uncalibrated,18,43.6879726666667,0.223457941510254,0.0526695419172958,0.00511486177706637,Nexus 4: 50Hz, 4g
Nexus 4,4,50,7,ENMO_calibrated,18,40.7527826666667,0.0958893914466037,0.0226013463119149,0.00235295322606364,Nexus 4: 50Hz, 4g
Nexus 4,4,50,7,ENMO_uncalibrated,18,44.3873286666667,0.247347559675949,0.0583003789189359,0.00557248131631084,Nexus 4: 50Hz, 4g
Nexus 4,4,50,8,ENMO_calibrated,18,40.869152,0.686012602871026,0.161694721156512,0.0167855844640727,Nexus 4: 50Hz, 4g
