k,spar,average_extrapolation_rate,sd_extrapolation_rate,min_extrapolation_rate
0.85,0.5,0.479247591246044,0.28861889738873,-0.204396009002499
0.25,0.6,0.472606212974957,0.295722669467965,-0.148976645825345
0.35,0.6,0.469918097935766,0.29851733674283,-0.202683138131641
0.45,0.6,0.467162380643417,0.297044944766401,-0.212164439339368
0.95,0.5,0.45864513087761,0.295841455471957,-0.212653323260474
0.55,0.6,0.455167145466095,0.300162359723551,-0.215675523070347
0.65,0.6,0.417815857039746,0.315894292702594,-0.203652432263218
0.75,0.6,0.380012201132097,0.332763170244547,-0.294023251157942
0.15,0.7,0.371688787206046,0.341925118148389,-0.436618495389949
0.85,0.6,0.344976821288491,0.348983089005695,-0.491350263247274
0.25,0.7,0.321348431443102,0.37142614900719,-0.685373798987391
0.35,0.7,0.31325345035017,0.370549318059212,-0.680744818820563
0.45,0.7,0.312253176411622,0.368925479719771,-0.672600830181905
0.95,0.6,0.302733211079173,0.369427831491053,-0.697957545256436
0.55,0.7,0.291175264587799,0.379863416739359,-0.762619834191631
0.65,0.7,0.217576054519776,0.417624608708417,-1.01761997063777
0.15,0.8,0.199581639024532,0.439539637588093,-1.22550149479797
0.75,0.7,0.149153864806122,0.447457647374894,-1.16468507574701
0.15,0.9,0.1218037052872,0.482523986132542,-1.44610258872894
0.15,1,0.103337717036104,0.491984473500551,-1.49792109326966
0.85,0.7,0.0953230178545394,0.471252175025666,-1.27426120140289
0.25,0.8,0.0787756106351724,0.502193807018291,-1.36719056522895
0.35,0.8,0.0558746444108063,0.50234939196719,-1.34053373230879
0.45,0.8,0.0480809507895533,0.495927981592248,-1.35143425771275
0.95,0.7,0.0405962198411923,0.496713535266307,-1.36127304180698
0.55,0.8,0.0228991205908937,0.505246796445427,-1.39286553427456
0.65,0.8,-0.0553762860536443,0.534834134720993,-1.53693019994277
0.75,0.8,-0.115186769839078,0.553961684746222,-1.63285369473389
0.25,0.9,-0.126953996329707,0.591291622034358,-1.73175520111496
0.85,0.8,-0.158069954908575,0.565245360549631,-1.65937767089116
