low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,5,18,256.462010356673,0.442868288273314,0.104385056603513,0.00172683777865345,TAS1E23150139: 60Hz, 8g
0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,6,18,215.2853582898,0.681008102293347,0.160515149058203,0.00316328108749796,TAS1E23150139: 60Hz, 8g
0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,7,18,156.699402373519,2.6124570468463,0.615762031127868,0.0166717741566051,TAS1E23150139: 60Hz, 8g
0.2,5,TRUE,TRUE,Proposed,TAS1E23150139,8,60,8,18,150.296421094894,4.81456757512897,1.13480446028485,0.0320338138463666,TAS1E23150139: 60Hz, 8g
0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,2,18,60.7418442457322,2.11021514120276,0.497382478702333,0.0347407156863043,ActivPal3: 20Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,3,18,132.689921200864,1.43993767790062,0.339396565509847,0.0108518994123213,ActivPal3: 20Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,4,18,164.162565042537,1.04168163792328,0.24552671667102,0.0063454273978563,ActivPal3: 20Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,5,18,133.000908034865,3.55542527783028,0.838021774651953,0.0267323383754513,ActivPal3: 20Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,6,18,96.0140348950318,1.52306283637524,0.358989353258049,0.015862918770577,ActivPal3: 20Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,7,18,96.9801815486749,3.4370011234788,0.81010893378588,0.035440242208185,ActivPal3: 20Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,ActivPal3,2,20,8,18,92.0334445430317,2.77290865250883,0.653580837266614,0.0301293585856423,ActivPal3: 20Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,2,18,58.9243191454955,1.61446421372878,0.380532864503544,0.027398945582084,CLE2B41120128: 40Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,3,18,130.071018183654,0.939927518469251,0.22154304071115,0.00722626401787769,CLE2B41120128: 40Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,4,18,213.745458859314,0.55307378884257,0.130360742195706,0.00258753468632332,CLE2B41120128: 40Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,5,18,248.084124843837,0.657171994800701,0.154896924643155,0.00264898850425989,CLE2B41120128: 40Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,6,18,204.292284237527,1.13700660877205,0.267995027772211,0.00556558762371108,CLE2B41120128: 40Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,7,18,129.773149501311,3.10352828190297,0.731508631245943,0.0239150262887903,CLE2B41120128: 40Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,40,8,18,123.16679226469,4.71721624982867,1.11185853285908,0.0382994162882085,CLE2B41120128: 40Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,1,30,15.766478861149,1.65487253462876,0.30213700567064,0.10496145329612,CLE2B41120128: 80Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,2,30,60.685360381286,1.41837255765388,0.258958214924442,0.0233725654547035,CLE2B41120128: 80Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,3,24,134.330628510532,1.09176163273159,0.222854910078354,0.00812742145880747,CLE2B41120128: 80Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,4,24,222.31167425057,0.453174060340942,0.0925037677083785,0.00203846272072138,CLE2B41120128: 80Hz, 6g
