HEADER_TIME_STAMP,Y,group
2016-02-26 14:17:41,-1.148,gt
2016-02-26 14:17:41,-1.055,gt
2016-02-26 14:17:41,-0.719,gt
2016-02-26 14:17:41,-0.68,gt
2016-02-26 14:17:41,-0.609,gt
2016-02-26 14:17:41,0.254,gt
2016-02-26 14:17:41,2.758,gt
2016-02-26 14:17:41,4.266,gt
2016-02-26 14:17:41,3.188,gt
2016-02-26 14:17:41,1.992,gt
2016-02-26 14:17:41,1.625,gt
2016-02-26 14:17:41,1.281,gt
2016-02-26 14:17:42,0.816,gt
2016-02-26 14:17:42,0.25,gt
2016-02-26 14:17:42,-0.102,gt
2016-02-26 14:17:42,-0.359,gt
2016-02-26 14:17:42,-0.109,gt
2016-02-26 14:17:42,0.586,gt
2016-02-26 14:17:42,2.078,gt
2016-02-26 14:17:42,4.141,gt
2016-02-26 14:17:42,3.273,gt
2016-02-26 14:17:42,2.066,gt
2016-02-26 14:17:42,1.758,gt
2016-02-26 14:17:42,0.871,gt
2016-02-26 14:17:42,0.004,gt
2016-02-26 14:17:42,-0.863,gt
2016-02-26 14:17:42,-1.551,gt
2016-02-26 14:17:42,-1.535,gt
2016-02-26 14:17:42,-1,gt
2016-02-26 14:17:42,-0.813,gt
2016-02-26 14:17:42,-0.547,gt
2016-02-26 14:17:42,1,gt
2016-02-26 14:17:42,4.809,gt
2016-02-26 14:17:42,4.078,gt
2016-02-26 14:17:42,2.477,gt
2016-02-26 14:17:42,1.535,gt
2016-02-26 14:17:42,1.141,gt
2016-02-26 14:17:42,0.637,gt
2016-02-26 14:17:42,0.453,gt
2016-02-26 14:17:42,0.297,gt
2016-02-26 14:17:42,0.129,gt
2016-02-26 14:17:42,-0.18,gt
2016-02-26 14:17:42,-0.211,gt
2016-02-26 14:17:42,0.379,gt
2016-02-26 14:17:42,1.691,gt
2016-02-26 14:17:42,3.973,gt
2016-02-26 14:17:42,3.695,gt
2016-02-26 14:17:42,2.449,gt
2016-02-26 14:17:42,1.875,gt
2016-02-26 14:17:42,1.137,gt
2016-02-26 14:17:42,0.496,gt
2016-02-26 14:17:42,-0.219,gt
2016-02-26 14:17:43,-0.996,gt
2016-02-26 14:17:43,-1.281,gt
2016-02-26 14:17:43,-0.949,gt
2016-02-26 14:17:43,-0.844,gt
2016-02-26 14:17:43,-0.66,gt
2016-02-26 14:17:43,0,gt
2016-02-26 14:17:43,2.516,gt
2016-02-26 14:17:43,4.879,gt
2016-02-26 14:17:43,3.453,gt
2016-02-26 14:17:43,1.859,gt
