DEVICE,GRANGE,SR,TYPE,HZ,NAME,N,mean,sd,se,cv
LGUrbaneR,2,100,enmo,1,LGUrbaneR: 100Hz, 2g,30,0.6972,0.00794116294792625,0.00144985135980114,0.0113900788122866
LGUrbaneR,2,100,enmo,2,LGUrbaneR: 100Hz, 2g,24,7.385,0.0176635217326557,0.00360555127546399,0.00239181066115852
LGUrbaneR,2,100,enmo,3,LGUrbaneR: 100Hz, 2g,30,7.392,0.0169705627484772,0.00309838667696594,0.00229580123761867
LGUrbaneR,2,100,enmo,4,LGUrbaneR: 100Hz, 2g,24,18.2195,0.034395399085646,0.00702093143826865,0.00188783441288982
LGUrbaneR,2,100,enmo,5,LGUrbaneR: 100Hz, 2g,30,18.252,0.0313555802656093,0.00572471953837934,0.0017179257213242
LGUrbaneR,2,100,enmo,6,LGUrbaneR: 100Hz, 2g,30,20.7352,0.14944642679823,0.027285059698645,0.00720737812021247
LGUrbaneR,2,100,enmo,7,LGUrbaneR: 100Hz, 2g,30,22.1728,0.11828848429683,0.0215964237141565,0.00533484649195546
LGUrbaneR,2,100,mims,1,LGUrbaneR: 100Hz, 2g,30,24.5928566548,0.0879809779725044,0.0160630554223019,0.00357750135364337
LGUrbaneR,2,100,mims,2,LGUrbaneR: 100Hz, 2g,24,96.833923906,0.186831215960225,0.0381367622605233,0.0019293983804848
LGUrbaneR,2,100,mims,3,LGUrbaneR: 100Hz, 2g,30,96.9177166228,0.157850655838454,0.0288194549732352,0.00162870795287927
LGUrbaneR,2,100,mims,4,LGUrbaneR: 100Hz, 2g,24,249.931899386,3.04707638034572,0.621981861594478,0.0121916265503978
LGUrbaneR,2,100,mims,5,LGUrbaneR: 100Hz, 2g,30,252.0327467088,3.49635636138611,0.638344416069286,0.013872627295634
LGUrbaneR,2,100,mims,6,LGUrbaneR: 100Hz, 2g,30,400.0550479832,12.9749709405472,2.36889475570392,0.0324329639282345
LGUrbaneR,2,100,mims,7,LGUrbaneR: 100Hz, 2g,30,339.9309244584,7.91297405176509,1.44470479503493,0.0232781823671164
LGUrbaneR,2,100,mims_narrowband,1,LGUrbaneR: 100Hz, 2g,30,24.4623737928,0.0791051755502517,0.0144425630214263,0.00323374894931638
