k,spar,average_extrapolation_rate,sd_extrapolation_rate,min_extrapolation_rate,max_extrapolation_rate,weighted_extrapolation_rate
0.75,0.2,0.49909855512351,0.243181846175937,0.0490567866618278,0.996049995969473,55.3806133845954
0.65,0.2,0.484951757705157,0.238636406233471,0.0469551087291202,0.998828913000333,53.9798718589949
0.25,0.2,0.472254508881846,0.234963683287652,0.0446004984333077,0.99814924350619,52.7466308940487
0.35,0.2,0.471064281578205,0.234286197051171,0.0443780932787055,0.997461459692623,52.6168719136693
0.45,0.2,0.470277661065292,0.233943868801947,0.0444416220164465,0.999759865755441,52.4949151232152
0.55,0.2,0.469774947351656,0.234642667551508,0.0445890668842581,0.99912545379442,52.4369483894545
0.15,0.2,0.466218228704702,0.23166962981306,0.0436172447619372,0.990467963769976,51.9849340958408
0.95,0.1,0.458910256979201,0.22979371622598,0.0430753577189886,0.999007619522581,51.3433670379919
0.85,0.1,0.457633024504615,0.231434188716697,0.0424611661333165,0.997590247312034,51.1519435739133
0.05,0.2,0.457176060744028,0.229334099137029,0.043506927730127,0.991423543753991,51.1129216638331
0.75,0.1,0.451036038539275,0.230458534592844,0.0412229660155136,0.996521543927536,50.4663551513898
0.65,0.1,0.442575415552196,0.22918925564274,0.0397311535281078,0.995525328931725,49.6362582128824
0.25,0.1,0.441720143372479,0.226596025421442,0.0396262405880657,0.998978615188527,49.5963242739109
0.35,0.1,0.441495683788096,0.226700771426992,0.039482224346958,0.999064191648317,49.5631379045188
0.45,0.1,0.4410130453438,0.226589171784624,0.039511672192156,0.998816828116783,49.4981464832362
0.15,0.1,0.439920810077192,0.225765278655269,0.0392187757369248,0.999703239161251,49.3585893484261
0.95,0,0.435682837396511,0.232674642467992,0.0366949527798172,0.995655945819729,48.770924102576
0.55,0.1,0.434514744281656,0.228491024034837,0.0381595293240999,0.998897103660667,48.8011865423715
0.05,0.1,0.434387824708782,0.225311119021002,0.0393343284259602,0.995137697718708,48.7971156784458
0.85,0,0.432851174345647,0.231021700011314,0.037211611644463,0.990675860890103,48.5343858776364
0.35,0,0.432047919302854,0.224863301976997,0.037821035912598,0.995333788973877,48.5829687011888
0.25,0,0.431827191362976,0.224541190799761,0.0378406350161122,0.995081059300544,48.5655707027748
0.45,0,0.431745436528478,0.224831888133017,0.0377965000137541,0.995335312457416,48.5473955197937
0.75,0,0.431654166917508,0.232851742488561,0.0365151196964605,0.99614867857824,48.4122149443712
0.15,0,0.431606662705672,0.224849813057622,0.0376635012981317,0.995633594477468,48.5403972691126
0.05,0,0.428329769045733,0.224643767306775,0.0381216397918053,0.997579858698266,48.1833731567169
0.65,0,0.422695747527836,0.228144150062847,0.0357924926630301,0.999685015553785,47.6257971797462
0.55,0,0.420508776186161,0.227857477725458,0.0351679062329674,0.989543707095171,47.3432703962149
0.65,0.6,0.517332938598745,0.324227169432717,-0.0576956182259654,0.996250901717183,59.2604734836846
0.75,0.6,0.484887820075925,0.342738588395243,-0.226423898663656,0.999987066565984,56.9895597851061
0.15,0.7,0.466750737378137,0.355173996834319,-0.343931118849482,0.999994634296355,56.2087166558905
0.85,0.6,0.454209160632381,0.360153875133367,-0.398990563245469,0.996120532917744,54.9523107766205
0.25,0.7,0.428748407256808,0.378700030832997,-0.562631475429237,0.999128500617525,53.7240628266196
0.35,0.7,0.423605709408909,0.379507918211089,-0.566912858482957,0.999162685486003,53.3842480416697
0.45,0.7,0.422133952942042,0.378065459582363,-0.559279778034883,0.999209058344359,53.2227317764911
0.95,0.6,0.416089901744494,0.380268924301237,-0.582229027018546,0.997950975957553,52.5240185421431
0.55,0.7,0.402571484729006,0.387695313920743,-0.638640742840099,0.999950126833378,51.8384389011169
0.65,0.7,0.331954990186574,0.419771559453665,-0.871652393826396,0.99829157223566,46.9642797102183
0.15,0.8,0.310306007182147,0.436049208991487,-1.06684898172671,0.999561186313501,45.3546653546682
0.75,0.7,0.265969499957857,0.449260852613097,-1.01386700490087,0.998702331834023,42.0970745541095
0.15,0.9,0.241097642573869,0.473993631960287,-1.29111173162534,0.998203719679632,40.0657945469557
0.15,1,0.224808096116631,0.48258710183076,-1.33775673870895,0.99993447646318,38.7712167475131
0.85,0.7,0.211653696121776,0.471336065291632,-1.11344307903367,0.997947045558458,37.6994332479249
0.25,0.8,0.183351059815342,0.494301905016857,-1.21598128166388,0.997701628417658,35.7708623133757
0.35,0.8,0.170972846535965,0.498276601806404,-1.18716606407587,0.99920337785827,34.4097130849016
0.45,0.8,0.164397533615974,0.494504998568004,-1.19110320720695,0.998736278759198,33.6612475943173
0.95,0.7,0.154745943420492,0.493906741418531,-1.20393591253593,0.99804051753684,32.66510075257
0.55,0.8,0.136867296628496,0.50296865931805,-1.23195263373432,0.997084315636241,31.0695581483078
0.65,0.8,0.0539450350276377,0.529940249131867,-1.3350555539222,0.999326255967726,22.5917304231179
0.75,0.8,-0.0129991159052404,0.546196583558852,-1.43512774913683,0.999318089727186,14.950580014704
0.25,0.9,-0.0387138016335814,0.578307061776336,-1.61160944214385,0.996979953335488,12.4040164006483
0.85,0.8,-0.0613755111861599,0.554760527852276,-1.48604245592858,0.992878970563975,8.99724437288756
0.35,0.9,-0.0841430531554182,0.569466776554551,-1.5090650532476,0.999742681713506,6.07585187917465
0.45,0.9,-0.092435958919997,0.568920029769733,-1.51078301391106,0.997043625318762,4.9725609177396
0.95,0.8,-0.107891324645713,0.559951472462941,-1.52862616308978,0.99702929311898,2.92303632768541
0.25,1,-0.111986541523165,0.598261105423475,-1.70887602666657,0.995519751602673,3.12661823532731
0.55,0.9,-0.11928421122905,0.568205211339077,-1.54274422603624,0.996285122383312,1.32913255762345
0.65,0.9,-0.182674723847333,0.564710740579546,-1.56756172063905,0.999383303597004,-7.52254368646504
0.35,1,-0.228373379481917,0.572489531445082,-1.61761780558135,0.991980754233284,-14.844893177859
0.75,0.9,-0.229424574783219,0.557934288640381,-1.57991719814034,0.994206788591292,-14.3348162924697
0.85,0.9,-0.261607716208681,0.551369131483779,-1.58152738860484,0.990729732192524,-19.1197835121521
0.45,1,-0.269254665867512,0.555982696910893,-1.59598134975483,0.984611766590424,-20.7066373078004
0.95,0.9,-0.291253684911904,0.54381417644826,-1.57595639106382,0.999703162446787,-23.6103746691194
0.55,1,-0.291707339111638,0.548443650671364,-1.57999614174175,0.974553465284282,-23.7952459083675
0.65,1,-0.33181720364743,0.533914581824403,-1.56765367941,0.994092566326744,-29.8968274933075
0.75,1,-0.359468424485332,0.522433817925061,-1.56672703960537,0.96985175129657,-34.2283570093802
0.85,1,-0.377868591776815,0.514688452307444,-1.56668365315969,0.973313091208467,-37.1334109085332
0.95,1,-0.394000547434886,0.504589806969998,-1.56497845565026,0.914715569640256,-39.7470366408951
