HEADER_TIME_STAMP,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,group
2015-12-15 13:51:54,2.207,gt
2015-12-15 13:51:54,1.723,gt
2015-12-15 13:51:54,1.258,gt
2015-12-15 13:51:54,0.852,gt
2015-12-15 13:51:54,0.535,gt
2015-12-15 13:51:54,0.289,gt
2015-12-15 13:51:54,0.109,gt
2015-12-15 13:51:54,-0.039,gt
2015-12-15 13:51:54,-0.18,gt
2015-12-15 13:51:54,-0.313,gt
2015-12-15 13:51:54,-0.438,gt
2015-12-15 13:51:54,-0.547,gt
2015-12-15 13:51:54,-0.645,gt
2015-12-15 13:51:54,-0.723,gt
2015-12-15 13:51:54,-0.754,gt
2015-12-15 13:51:54,-0.699,gt
2015-12-15 13:51:54,-0.594,gt
2015-12-15 13:51:54,-0.465,gt
2015-12-15 13:51:54,-0.316,gt
2015-12-15 13:51:54,-0.211,gt
2015-12-15 13:51:54,-0.219,gt
2015-12-15 13:51:54,-0.246,gt
2015-12-15 13:51:54,-0.066,gt
2015-12-15 13:51:54,0.48,gt
2015-12-15 13:51:54,1.711,gt
2015-12-15 13:51:54,3.266,gt
2015-12-15 13:51:54,4.281,gt
2015-12-15 13:51:54,4.496,gt
2015-12-15 13:51:54,4.418,gt
2015-12-15 13:51:54,4.082,gt
2015-12-15 13:51:54,3.434,gt
2015-12-15 13:51:54,2.773,gt
2015-12-15 13:51:54,2.281,gt
2015-12-15 13:51:54,1.945,gt
2015-12-15 13:51:54,1.641,gt
2015-12-15 13:51:54,1.281,gt
2015-12-15 13:51:54,0.938,gt
2015-12-15 13:51:54,0.66,gt
2015-12-15 13:51:54,0.449,gt
2015-12-15 13:51:54,0.309,gt
2015-12-15 13:51:54,0.234,gt
2015-12-15 13:51:54,0.195,gt
2015-12-15 13:51:54,0.168,gt
2015-12-15 13:51:54,0.129,gt
2015-12-15 13:51:54,0.07,gt
2015-12-15 13:51:54,0.031,gt
2015-12-15 13:51:54,0.023,gt
2015-12-15 13:51:54,0.059,gt
2015-12-15 13:51:54,0.148,gt
2015-12-15 13:51:54,0.301,gt
2015-12-15 13:51:55,0.535,gt
2015-12-15 13:51:55,0.891,gt
2015-12-15 13:51:55,1.488,gt
2015-12-15 13:51:55,2.523,gt
2015-12-15 13:51:55,3.668,gt
2015-12-15 13:51:55,4.254,gt
2015-12-15 13:51:55,4.355,gt
2015-12-15 13:51:55,4.375,gt
2015-12-15 13:51:55,4.582,gt
2015-12-15 13:51:55,4.66,gt
2015-12-15 13:51:55,4.09,gt
2015-12-15 13:51:55,3.117,gt
2015-12-15 13:51:55,2.191,gt
2015-12-15 13:51:55,1.488,gt
2015-12-15 13:51:55,1.059,gt
2015-12-15 13:51:55,0.777,gt
2015-12-15 13:51:55,0.539,gt
2015-12-15 13:51:55,0.277,gt
2015-12-15 13:51:55,0.012,gt
2015-12-15 13:51:55,-0.227,gt
2015-12-15 13:51:55,-0.398,gt
2015-12-15 13:51:55,-0.48,gt
2015-12-15 13:51:55,-0.488,gt
2015-12-15 13:51:55,-0.488,gt
2015-12-15 13:51:47,1.33322673144171,extrap
2015-12-15 13:51:47,1.7226724802495,extrap
2015-12-15 13:51:47,1.88759920769384,extrap
2015-12-15 13:51:47,1.87918038759012,extrap
2015-12-15 13:51:47,1.74858949375371,extrap
2015-12-15 13:51:47,1.547,extrap
2015-12-15 13:51:47,1.32961102494626,extrap
2015-12-15 13:51:47,1.14759604240788,extrap
2015-12-15 13:51:47,0.982124011920859,extrap
2015-12-15 13:51:47,0.829802455387777,extrap
2015-12-15 13:51:47,0.715,extrap
2015-12-15 13:51:47,0.617990084321238,extrap
2015-12-15 13:51:47,0.551976642194793,extrap
2015-12-15 13:51:47,0.502686325851119,extrap
2015-12-15 13:51:47,0.45478286654278,extrap
2015-12-15 13:51:47,0.405998770900488,extrap
2015-12-15 13:51:47,0.35368906168461,extrap
2015-12-15 13:51:47,0.314410498696303,extrap
2015-12-15 13:51:47,0.317257573735137,extrap
2015-12-15 13:51:47,0.35767337238687,extrap
2015-12-15 13:51:47,0.402000937427765,extrap
2015-12-15 13:51:47,0.42886387388971,extrap
2015-12-15 13:51:48,0.422850723273174,extrap
2015-12-15 13:51:48,0.434641777254252,extrap
2015-12-15 13:51:48,0.503738486987051,extrap
2015-12-15 13:51:48,0.637,extrap
2015-12-15 13:51:48,0.834434820382046,extrap
2015-12-15 13:51:48,1.05300130796668,extrap
2015-12-15 13:51:48,1.49795816167362,extrap
2015-12-15 13:51:48,1.97619717828835,extrap
2015-12-15 13:51:48,2.40816224606562,extrap
2015-12-15 13:51:48,2.77832335165296,extrap
2015-12-15 13:51:48,3.07115048169791,extrap
2015-12-15 13:51:48,3.271113622848,extrap
2015-12-15 13:51:48,3.36268276175078,extrap
2015-12-15 13:51:48,3.33130158077792,extrap
2015-12-15 13:51:48,3.18481001760195,extrap
2015-12-15 13:51:48,2.95344496168822,extrap
2015-12-15 13:51:48,2.66840995024895,extrap
2015-12-15 13:51:48,2.36092991909433,extrap
2015-12-15 13:51:48,2.06220931278788,extrap
2015-12-15 13:51:48,1.80345885581744,extrap
2015-12-15 13:51:48,1.59091717194846,extrap
2015-12-15 13:51:48,1.35032661143331,extrap
2015-12-15 13:51:48,1.07585546121784,extrap
2015-12-15 13:51:48,0.812993472446205,extrap
2015-12-15 13:51:48,0.535303793864292,extrap
2015-12-15 13:51:48,0.307280907780278,extrap
2015-12-15 13:51:48,0.118258263820737,extrap
2015-12-15 13:51:48,-0.0523570171318734,extrap
2015-12-15 13:51:48,-0.191,extrap
2015-12-15 13:51:48,-0.289915759172871,extrap
2015-12-15 13:51:48,-0.353266093699049,extrap
2015-12-15 13:51:48,-0.405134457926211,extrap
2015-12-15 13:51:48,-0.448882332050657,extrap
2015-12-15 13:51:48,-0.473,extrap
2015-12-15 13:51:48,-0.488794530155354,extrap
2015-12-15 13:51:48,-0.508125146449809,extrap
2015-12-15 13:51:48,-0.542739402604948,extrap
2015-12-15 13:51:48,-0.586898832065245,extrap
2015-12-15 13:51:48,-0.621,extrap
2015-12-15 13:51:48,-0.631181302847803,extrap
2015-12-15 13:51:48,-0.605308622854079,extrap
2015-12-15 13:51:48,-0.555947866547909,extrap
2015-12-15 13:51:48,-0.512310863159025,extrap
2015-12-15 13:51:48,-0.468998409883118,extrap
2015-12-15 13:51:48,-0.374774275261827,extrap
2015-12-15 13:51:48,-0.243940142450176,extrap
